ID,County,Cooking_firewood(%),Cooking_electricity(%),Cooking_liquified petroleum gas (lpg)(%),Cooking_kerosene(%),Cooking_charcoal(%),Cooking_animal dung(%),Cooking_agricultural crop residue(%),Cooking_other(%),Cooking_number of households ('000),Lighting_electricity connection from mains(%),Lighting_generator(%),Lighting_solar energy(%),Lighting_paraffin lantern(%),Lighting_paraffintin lamp(%),Lighting_paraffin pressure lamp(%),Lighting_fuel wood(%),Lighting_battery lamp/torch(%),Lighting_candles(%),Lighting_other(%),Lighting_not stated(%),Lighting_number of households ('000)
1,Baringo,73,0,3,1,17,0,0,4,152,25,0,21,27,4,1,10,7,0,1,0,152
2,Bomet,93,0,2,1,2,0,0,0,179,9,3,62,16,3,0,0,2,0,0,0,179
3,Bungoma,82,0,4,3,7,0,0,1,321,10,1,18,17,48,0,0,1,0,0,1,321
4,Busia,83,0,2,2,11,0,0,0,177,11,0,15,15,57,0,0,0,0,1,0,177
5,Elgeyo-Marakwet,86,0,0,0,9,0,0,1,99,20,0,40,15,6,0,6,7,0,0,0,99
6,Embu,77,0,6,6,5,0,0,1,164,27,0,17,20,23,0,0,5,0,3,0,164
7,Garissa,57,0,0,0,36,0,0,4,78,28,0,0,0,0,0,0,63,0,5,0,78
8,Homa Bay,76,0,3,0,17,0,0,1,224,9,0,18,22,44,0,0,2,0,0,0,224
9,Isiolo,52,0,8,1,36,0,0,0,34,38,0,12,5,15,0,0,26,0,1,0,34
10,Kajiado,23,0,35,20,17,0,0,2,250,68,0,4,6,17,0,0,1,0,0,0,250
11,Kakamega,85,0,2,3,9,0,0,0,392,15,0,21,12,47,0,0,0,0,0,0,392
12,Kericho,78,0,6,1,13,0,0,0,211,28,1,35,16,15,0,0,0,0,1,0,211
13,Kiambu,23,1,35,21,15,0,0,1,600,80,0,1,8,9,0,0,0,1,0,0,600
14,Kilifi,50,1,7,7,29,0,0,1,326,34,0,8,14,38,0,0,0,0,0,1,326
15,Kirinyaga,67,0,12,9,8,0,0,1,198,43,0,8,14,31,0,0,0,1,0,0,198
16,Kisii,76,1,6,4,10,0,0,1,291,29,0,12,37,18,0,0,0,0,0,0,291
17,Kisumu,32,0,7,19,38,1,0,0,284,42,0,11,24,18,0,0,0,0,0,0,284
18,Kitui,79,1,5,2,9,0,0,2,236,18,0,17,33,18,0,0,11,0,0,0,236
19,Kwale,71,0,6,7,12,0,0,1,174,20,0,11,17,41,0,0,6,1,0,0,174
20,Laikipia,52,0,14,5,26,0,0,1,135,40,0,17,18,15,0,0,1,0,6,0,135
21,Lamu,58,1,5,2,31,0,0,1,30,24,0,38,18,8,0,1,3,1,2,0,30
22,Machakos,50,0,15,24,6,0,0,3,328,41,0,16,30,7,0,0,1,2,0,0,328
23,Makueni,77,0,2,7,10,0,0,1,233,17,0,24,37,14,0,0,5,0,0,0,233
24,Mandera,81,0,0,0,17,0,0,0,111,13,0,3,0,0,0,0,77,0,4,0,111
25,Marsabit,81,2,1,1,11,0,0,1,62,17,0,8,6,0,0,21,42,0,0,0,62
26,Meru,74,0,7,5,9,0,0,1,393,32,0,15,10,29,0,0,10,0,1,0,393
27,Migori,82,0,4,2,11,0,0,0,233,10,0,29,12,46,0,0,0,0,0,0,233
28,Mombasa,2,1,18,43,23,0,0,10,397,78,0,0,8,10,0,0,0,0,0,0,397
29,Murang'a,80,0,5,8,2,0,0,2,323,41,0,7,27,20,0,0,0,1,2,0,323
30,Nairobi,1,4,40,47,5,0,0,0,1503,90,0,0,4,1,0,0,0,2,0,0,1503
31,Nakuru,42,1,13,10,30,0,0,0,578,55,0,17,16,7,0,0,1,0,0,0,578
32,Nandi,86,0,4,1,5,0,0,1,202,18,1,38,16,23,0,0,0,0,0,0,202
33,Narok,57,0,6,4,29,0,0,0,223,21,2,37,7,22,0,0,5,1,0,1,223
34,Nyamira,77,0,9,3,8,0,0,1,179,26,0,14,23,33,0,0,1,0,0,0,179
35,Nyandarua,69,0,8,3,17,0,0,0,191,26,0,28,25,14,0,0,3,0,0,0,191
36,Nyeri,62,0,9,9,16,0,0,0,271,57,0,7,19,13,0,0,1,0,0,0,271
37,Samburu,72,0,3,0,23,0,0,0,61,17,0,8,10,15,0,39,4,0,5,0,61
38,Siaya,71,0,2,4,19,0,0,1,246,10,0,21,23,41,0,0,0,0,0,0,246
39,Taita Taveta,56,0,10,10,21,0,0,0,102,36,1,12,27,19,0,0,2,0,0,0,102
40,Tana River,51,0,1,0,43,0,0,3,56,16,0,14,18,19,0,0,27,0,1,0,56
41,Tharaka-Nithi,85,0,4,2,6,0,0,0,107,17,0,19,12,33,0,0,12,0,0,0,107
42,Trans Nzoia,65,0,6,4,17,0,4,0,210,30,0,12,19,29,0,0,1,0,6,0,210
43,Turkana,72,0,2,0,19,0,0,4,246,6,5,5,3,5,0,38,20,0,12,0,246
44,Uasin Gishu,44,0,9,13,27,0,4,0,270,49,0,23,14,8,0,0,0,2,0,0,270
45,Vihiga,89,0,3,3,3,0,0,0,144,25,0,11,11,49,0,0,0,0,0,0,144
46,Wajir,97,0,0,0,2,0,0,0,69,8,0,5,0,0,0,0,84,0,0,0,69
47,West Pokot,89,0,1,0,7,0,0,0,119,6,1,10,21,10,1,17,26,0,4,0,119
