ID,County,Total male headed households(number),Total male headed households(%),Total female headed households(number),Total female headed households(%),Total households,Female headed(below 15 years),Female headed(15-74 years),Female headed(over 75 years),Male headed(below 15 years),Male headed(15-74 years),Male headed(over 75 years),Total(below 15 years),Total(15-74 years),Total(over 75 years)
1,Baringo,93533,74.1,32767,25.9,121966,NA,27819,3831,NA,86836,3480,NA,114655,7311
2,Bomet,138898,76.5,42636,23.5,156634,NA,34396,3143,NA,112240,6855,NA,146636,9998
3,Bungoma,220535,75.2,72849,24.8,339915,NA,78115,6041,NA,244534,11224,NA,322650,17266
4,Busia,125803,71.3,50686,28.7,107393,NA,27428,3170,NA,70927,5869,NA,98354,9039
5,Elgeyo-Marakwet,71391,81.6,16115,18.4,85344,NA,13536,2190,NA,66173,3445,NA,79709,5635
6,Embu,89669,70.9,36833,29.1,138003,NA,36458,3711,NA,90671,7163,NA,127129,10874
7,Garissa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Homa Bay,115710,48.8,121591,51.2,220807,NA,106282,6779,NA,103131,4615,NA,209413,11394
9,Isiolo,25259,71.3,10148,28.7,33166,NA,8965,536,229,22902,534,229,31866,1070
10,Kajiado,142257,79.2,37344,20.8,191919,NA,NA,NA,NA,151050,857,NA,NA,NA
11,Kakamega,272169,71.5,108648,28.5,376748,NA,95661,11668,NA,242200,27220,NA,337861,38887
12,Kericho,104209,76.2,32618,23.8,180841,NA,37167,5943,NA,137022,710,NA,174189,6652
13,Kiambu,345805,75.9,109843,24.1,500472,NA,110706,10302,NA,373201,6263,NA,483908,16565
14,Kilifi,156353,73.3,56991,26.7,221008,505,56455,2100,NA,157114,4834,505,213569,6934
15,Kirinyaga,107330,73.7,38276,26.3,165031,NA,35919,7495,NA,117104,4513,NA,153023,12008
16,Kisii,163417,64.8,88946,35.2,262652,NA,79957,12615,NA,162710,7370,NA,242667,19985
17,Kisumu,174532,69,78464,31,244529,NA,70946,5284,NA,162177,6122,NA,233123,11406
18,Kitui,108820,51.2,103856,48.8,215060,NA,97499,7501,NA,99869,10192,NA,197368,17692
19,Kwale,97614,73.3,35581,26.7,134826,NA,33555,2462,174,93129,5506,174,126684,7968
20,Laikipia,77546,76,24534,24,109222,NA,24182,2367,780,80374,1520,780,104555,3886
21,Lamu,18646,80.9,4393,19.1,24634,NA,4588,109,NA,19899,38,NA,24486,147
22,Machakos,167263,67.1,81972,32.9,277277,533,78927,10844,266,179275,7432,799,258202,18276
23,Makueni,118902,65.5,62555,34.5,195294,NA,62653,4630,NA,121353,6657,NA,184007,11287
24,Mandera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Marsabit,61242,77.2,18102,22.8,59960,NA,11772,1903,NA,43566,2720,NA,55338,4622
26,Meru,259791,80.1,64409,19.9,334489,NA,63184,3409,NA,253897,13999,NA,317081,17408
27,Migori,139938,68,65976,32,193163,NA,57436,4461,NA,127331,3935,NA,184767,8396
28,Mombasa,221520,77.4,64615,22.6,299439,NA,NA,NA,2804,227382,1634,2804,NA,NA
29,Murang'a,177420,70.2,75476,29.8,272402,NA,74564,6216,NA,175349,16272,NA,249913,22488
30,Nairobi,783519,75,261657,25,1128693,1718,280062,786,1126,833349,11652,2845,1113411,12438
31,Nakuru,325337,73.9,114750,26.1,452820,189,116777,1262,2049,323110,9434,2238,439887,10695
32,Nandi,130664,81.1,30399,18.9,169448,NA,26554,5443,NA,130189,7262,NA,156743,12705
33,Narok,138049,71.1,55996,28.9,187017,NA,53368,598,139,128249,4664,139,181616,5262
34,Nyamira,113363,86,18407,14,140139,NA,17118,2458,NA,113429,7134,NA,130547,9591
35,Nyandarua,97835,69.1,43841,30.9,152812,NA,41780,5458,NA,101208,4367,NA,142988,9825
36,Nyeri,130867,67.4,63206,32.6,215824,NA,60716,9578,NA,135036,10495,NA,195752,20072
37,Samburu,46369,81.9,10267,18.1,52388,NA,NA,NA,NA,40732,2052,NA,NA,NA
38,Siaya,131862,58.1,95203,41.9,213400,116,77500,11862,NA,116991,6931,116,194491,18793
39,Taita Taveta,51389,70.3,21687,29.7,79950,NA,23132,505,254,53411,2647,254,76544,3152
40,Tana River,42890,81.8,9561,18.2,52234,NA,9357,164,NA,40611,2102,NA,49969,2266
41,Tharaka-Nithi,64259,74.9,21488,25.1,92796,NA,19399,3954,NA,65364,4079,NA,84763,8033
42,Trans-Nzoia,140020,77.2,41372,22.8,187506,NA,40166,2605,NA,141507,3227,NA,181674,5832
43,Turkana,106061,69.3,46916,30.7,136242,80,38869,3237,265,91488,2303,345,130357,5540
44,Uasin Gishu,160277,75.6,51715,24.4,223618,691,52106,1953,NA,165440,3428,691,217547,5381
45,Vihiga,79875,62.5,47846,37.5,130465,NA,45462,3412,NA,75581,6009,NA,121044,9421
46,Wajir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,West Pokot,94549,81.4,21551,18.6,103169,NA,17813,1356,294,80233,3474,294,98046,4830
